Mes	CentMaq	Fuente	Region	EnGenerada-GWh
ene-11	AESP	1	105	0.0
ene-11	AESP	1	105	0.0
ene-11	AMEGHI	5	108	13.8
ene-11	ARAUEO	4	107	0.1
ene-11	CACVHI	5	104	0.0
ene-11	CADIHI	5	107	0.6
ene-11	CALEHI	5	102	0.9
ene-11	CARRHI	5	104	5.4
ene-11	CASSHI	5	102	4.1
ene-11	CEJEHI	5	102	0.0
ene-11	COROHI	5	104	0.0
ene-11	CVIEHI	5	104	2.1
ene-11	DIADEO	4	108	0.0
ene-11	ESCAHI	5	107	0.4
ene-11	ETIGHI	5	104	5.9
ene-11	FSIMHI	5	102	4.3
ene-11	ISBA	3	107	0.0
ene-11	LDCU	1	104	0.0
ene-11	LDCU	1	104	0.0
ene-11	LMADHI	5	107	3.7
ene-11	LMO2HI	5	102	0.0
ene-11	LQUIHI	5	107	1.0
ene-11	LVINHI	5	102	1.5
ene-11	NECOEO	4	101	0.0
ene-11	NIDE	3	101	0.0
ene-11	NIH4HI	5	104	10.3
ene-11	NPUE	1	101	0.0
ene-11	NPUE	1	101	0.0
ene-11	PMORHI	5	102	2.7
ene-11	PUPI	3	106	6.9
ene-11	PVIEHI	5	107	5.7
ene-11	QULLHI	5	104	8.6
ene-11	REOLHI	5	102	3.3
ene-11	RHONHI	5	107	10.1
ene-11	RREYHI	5	107	0.0
ene-11	SANDHI	5	103	0.0
ene-11	SEMIHI	5	105	0.0
ene-11	SJUAFV	6	104	0.0
ene-11	SMARHI	5	104	0.0
ene-11	SNIC	1	105	0.0
ene-11	SROQHI	5	102	4.3
ene-11	TUNAHI	5	107	3.9
ene-11	ULLUHI	5	104	21.5
feb-11	AESP	1	105	0.0
feb-11	AESP	1	105	0.0
feb-11	AMEGHI	5	108	12.5
feb-11	ARAUEO	4	107	0.6
feb-11	CACVHI	5	104	0.0
feb-11	CADIHI	5	107	6.9
feb-11	CALEHI	5	102	0.8
feb-11	CARRHI	5	104	3.4
feb-11	CASSHI	5	102	7.0
feb-11	CEJEHI	5	102	0.0
feb-11	COROHI	5	104	0.0
feb-11	CVIEHI	5	104	1.2
feb-11	DIADEO	4	108	0.0
feb-11	ESCAHI	5	107	5.9
feb-11	ETIGHI	5	104	3.9
feb-11	FSIMHI	5	102	7.1
feb-11	ISBA	3	107	0.0
feb-11	LDCU	1	104	0.0
feb-11	LDCU	1	104	0.0
feb-11	LMADHI	5	107	6.4
feb-11	LMO2HI	5	102	0.0
feb-11	LQUIHI	5	107	0.8
feb-11	LVINHI	5	102	0.9
feb-11	NECOEO	4	101	0.0
feb-11	NIDE	3	101	0.0
feb-11	NIH4HI	5	104	4.8
feb-11	NPUE	1	101	0.0
feb-11	NPUE	1	101	0.0
feb-11	PMORHI	5	102	3.9
feb-11	PUPI	3	106	6.0
feb-11	PVIEHI	5	107	4.3
feb-11	QULLHI	5	104	6.8
feb-11	REOLHI	5	102	6.8
feb-11	RHONHI	5	107	10.6
feb-11	RREYHI	5	107	0.0
feb-11	SANDHI	5	103	0.0
feb-11	SEMIHI	5	105	0.1
feb-11	SJUAFV	6	104	0.0
feb-11	SMARHI	5	104	0.0
feb-11	SNIC	1	105	0.0
feb-11	SROQHI	5	102	3.8
feb-11	TUNAHI	5	107	6.0
feb-11	ULLUHI	5	104	19.8
mar-11	AESP	1	105	0.0
mar-11	AESP	1	105	0.0
mar-11	AMEGHI	5	108	11.7
mar-11	ARAUEO	4	107	0.7
mar-11	CACVHI	5	104	0.0
mar-11	CADIHI	5	107	8.1
mar-11	CALEHI	5	102	0.9
mar-11	CARRHI	5	104	4.9
mar-11	CASSHI	5	102	8.4
mar-11	CEJEHI	5	102	0.0
mar-11	COROHI	5	104	0.0
mar-11	CVIEHI	5	104	1.0
mar-11	DIADEO	4	108	0.0
mar-11	ESCAHI	5	107	12.2
mar-11	ETIGHI	5	104	3.4
mar-11	FSIMHI	5	102	8.2
mar-11	ISBA	3	107	0.0
mar-11	LDCU	1	104	0.0
mar-11	LDCU	1	104	0.0
mar-11	LMADHI	5	107	10.1
mar-11	LMO2HI	5	102	0.0
mar-11	LQUIHI	5	107	1.3
mar-11	LVINHI	5	102	1.8
mar-11	NECOEO	4	101	0.0
mar-11	NIDE	3	101	0.0
mar-11	NIH4HI	5	104	6.4
mar-11	NPUE	1	101	0.0
mar-11	NPUE	1	101	0.0
mar-11	PMORHI	5	102	4.3
mar-11	PUPI	3	106	6.6
mar-11	PVIEHI	5	107	9.4
mar-11	QULLHI	5	104	5.3
mar-11	REOLHI	5	102	8.8
mar-11	RHONHI	5	107	11.9
mar-11	RREYHI	5	107	0.0
mar-11	SANDHI	5	103	0.0
mar-11	SEMIHI	5	105	0.0
mar-11	SJUAFV	6	104	0.1
mar-11	SMARHI	5	104	0.0
mar-11	SNIC	1	105	0.0
mar-11	SROQHI	5	102	4.3
mar-11	TUNAHI	5	107	6.8
mar-11	ULLUHI	5	104	12.4
abr-11	AESP	1	105	0.0
abr-11	AESP	1	105	0.0
abr-11	AMEGHI	5	108	9.9
abr-11	ARAUEO	4	107	0.7
abr-11	CACVHI	5	104	0.0
abr-11	CADIHI	5	107	5.3
abr-11	CALEHI	5	102	0.8
abr-11	CARRHI	5	104	6.6
abr-11	CASSHI	5	102	6.0
abr-11	CEJEHI	5	102	0.0
abr-11	COROHI	5	104	2.0
abr-11	CVIEHI	5	104	1.3
abr-11	DIADEO	4	108	0.0
abr-11	ESCAHI	5	107	12.0
abr-11	ETIGHI	5	104	3.1
abr-11	FSIMHI	5	102	6.1
abr-11	ISBA	3	107	0.0
abr-11	LDCU	1	104	0.0
abr-11	LDCU	1	104	0.0
abr-11	LMADHI	5	107	7.8
abr-11	LMO2HI	5	102	0.0
abr-11	LQUIHI	5	107	1.3
abr-11	LVINHI	5	102	2.8
abr-11	NECOEO	4	101	0.0
abr-11	NIDE	3	101	0.0
abr-11	NIH4HI	5	104	8.2
