#Año	Mes	CentMaq	Fuente	Region	EnGenerada-GWh
2011	1	2	1	105	0
2011	1	2	1	105	0
2011	1	5	5	108	13.8
2011	1	9	4	107	0.1
2011	1	18	5	104	0
2011	1	19	5	107	0.6
2011	1	21	5	102	0.9
2011	1	23	5	104	5.4
2011	1	24	5	102	4.1
2011	1	25	5	102	0
2011	1	33	5	104	0
2011	1	38	5	104	2.1
2011	1	40	4	108	0
2011	1	46	5	107	0.4
2011	1	47	5	104	5.9
2011	1	49	5	102	4.3
2011	1	60	3	107	0
2011	1	66	1	104	0
2011	1	66	1	104	0
2011	1	71	5	107	3.7
2011	1	72	5	102	0
2011	1	75	5	107	1
2011	1	78	5	102	1.5
2011	1	82	4	101	0
2011	1	84	3	101	0
2011	1	85	5	104	10.3
2011	1	87	1	101	0
2011	1	87	1	101	0
2011	1	96	5	102	2.7
2011	1	102	3	106	6.9
2011	1	103	5	107	5.7
2011	1	104	5	104	8.6
2011	1	108	5	102	3.3
2011	1	110	5	107	10.1
2011	1	112	5	107	0
2011	1	115	5	103	0
2011	1	118	5	105	0
2011	1	122	6	104	0
2011	1	124	5	104	0
2011	1	126	1	105	0
2011	1	129	5	102	4.3
2011	1	140	5	107	3.9
2011	1	144	5	104	21.5
2011	2	2	1	105	0
2011	2	2	1	105	0
2011	2	5	5	108	12.5
2011	2	9	4	107	0.6
2011	2	18	5	104	0
2011	2	19	5	107	6.9
2011	2	21	5	102	0.8
2011	2	23	5	104	3.4
2011	2	24	5	102	7
2011	2	25	5	102	0
2011	2	33	5	104	0
2011	2	38	5	104	1.2
2011	2	40	4	108	0
2011	2	46	5	107	5.9
2011	2	47	5	104	3.9
2011	2	49	5	102	7.1
2011	2	60	3	107	0
2011	2	66	1	104	0
2011	2	66	1	104	0
2011	2	71	5	107	6.4
2011	2	72	5	102	0
2011	2	75	5	107	0.8
2011	2	78	5	102	0.9
2011	2	82	4	101	0
2011	2	84	3	101	0
2011	2	85	5	104	4.8
2011	2	87	1	101	0
2011	2	87	1	101	0
2011	2	96	5	102	3.9
2011	2	102	3	106	6
2011	2	103	5	107	4.3
2011	2	104	5	104	6.8
2011	2	108	5	102	6.8
2011	2	110	5	107	10.6
2011	2	112	5	107	0
2011	2	115	5	103	0
2011	2	118	5	105	0.1
2011	2	122	6	104	0
2011	2	124	5	104	0
2011	2	126	1	105	0
2011	2	129	5	102	3.8
2011	2	140	5	107	6
2011	2	144	5	104	19.8
2011	3	2	1	105	0
2011	3	2	1	105	0
2011	3	5	5	108	11.7
2011	3	9	4	107	0.7
2011	3	18	5	104	0
2011	3	19	5	107	8.1
2011	3	21	5	102	0.9
2011	3	23	5	104	4.9
2011	3	24	5	102	8.4
2011	3	25	5	102	0
2011	3	33	5	104	0
2011	3	38	5	104	1
2011	3	40	4	108	0
2011	3	46	5	107	12.2
2011	3	47	5	104	3.4
2011	3	49	5	102	8.2
2011	3	60	3	107	0
2011	3	66	1	104	0
2011	3	66	1	104	0
2011	3	71	5	107	10.1
2011	3	72	5	102	0
2011	3	75	5	107	1.3
2011	3	78	5	102	1.8
2011	3	82	4	101	0
2011	3	84	3	101	0
2011	3	85	5	104	6.4
2011	3	87	1	101	0
2011	3	87	1	101	0
2011	3	96	5	102	4.3
2011	3	102	3	106	6.6
2011	3	103	5	107	9.4
2011	3	104	5	104	5.3
2011	3	108	5	102	8.8
2011	3	110	5	107	11.9
2011	3	112	5	107	0
2011	3	115	5	103	0
2011	3	118	5	105	0
2011	3	122	6	104	0.1
2011	3	124	5	104	0
2011	3	126	1	105	0
2011	3	129	5	102	4.3
2011	3	140	5	107	6.8
2011	3	144	5	104	12.4
2011	4	2	1	105	0
2011	4	2	1	105	0
2011	4	5	5	108	9.9
2011	4	9	4	107	0.7
2011	4	18	5	104	0
2011	4	19	5	107	5.3
2011	4	21	5	102	0.8
2011	4	23	5	104	6.6
2011	4	24	5	102	6
2011	4	25	5	102	0
2011	4	33	5	104	2
2011	4	38	5	104	1.3
2011	4	40	4	108	0
2011	4	46	5	107	12
2011	4	47	5	104	3.1
2011	4	49	5	102	6.1
2011	4	60	3	107	0
2011	4	66	1	104	0
2011	4	66	1	104	0
2011	4	71	5	107	7.8
2011	4	72	5	102	0
2011	4	75	5	107	1.3
2011	4	78	5	102	2.8
2011	4	82	4	101	0
2011	4	84	3	101	0
2011	4	85	5	104	8.2
2011	4	87	1	101	0
2011	4	87	1	101	0
2011	4	96	5	102	3.8
2011	4	102	3	106	6.1
2011	4	103	5	107	8.3
2011	4	104	5	104	4.1
2011	4	108	5	102	5
2011	4	110	5	107	11.9
2011	4	112	5	107	0.7
2011	4	115	5	103	0
2011	4	118	5	105	0
2011	4	122	6	104	0.2
2011	4	124	5	104	1.4
2011	4	126	1	105	0
2011	4	129	5	102	3.6
2011	4	140	5	107	6.4
2011	4	144	5	104	9.6
2011	5	2	1	105	5.5
2011	5	2	1	105	0
2011	5	5	5	108	7.7
2011	5	9	4	107	0.8
2011	5	18	5	104	0
2011	5	19	5	107	3.4
2011	5	21	5	102	0.7
2011	5	23	5	104	0.3
2011	5	24	5	102	3.5
2011	5	25	5	102	0
2011	5	33	5	104	1.1
2011	5	38	5	104	1.1
2011	5	40	4	108	0
