Year,Month,Energia[GWh],Energia[%]
2011,1,0.1,0.6369426751592357
2011,2,0.6,3.8216560509554136
2011,3,0.7,4.4585987261146505
2011,4,0.7,4.4585987261146505
2011,5,0.8,5.095541401273887
2011,6,1.2,7.643312101910827
2011,7,1.1,7.0063694267515935
2011,8,0.4,2.5477707006369434
2011,9,1.0,6.369426751592357
2011,10,1.4,8.917197452229301
2011,11,2.5,15.92356687898089
2011,12,5.2,33.121019108280265
2012,1,18.8,5.406960023008339
2012,2,22.6,6.49985619787173
2012,3,24.5,7.046304285303425
2012,4,25.4,7.30514811619212
2012,5,29.3,8.426804716709809
2012,6,35.5,10.20995110727639
2012,7,39.09999999999999,11.245326430831179
2012,8,28.3,8.139200460166812
2012,9,29.5,8.484325568018408
2012,10,26.0,7.477710670117919
2012,11,31.7,9.117054932413
2012,12,37.0,10.641357492090881
2013,1,29.2,6.541218637992832
2013,2,26.8,6.003584229390683
2013,3,31.1,6.966845878136202
2013,4,21.6,4.838709677419356
2013,5,29.8,6.67562724014337
2013,6,35.09999999999999,7.862903225806449
2013,7,35.4,7.93010752688172
2013,8,50.80000000000001,11.37992831541219
2013,9,38.9,8.71415770609319
2013,10,48.7,10.909498207885301
2013,11,45.9,10.28225806451613
2013,12,53.1,11.89516129032258
2014,1,50.8,8.288464676129871
2014,2,47.8,7.798988415728504
2014,3,52.40000000000001,8.549518681677272
2014,4,46.89999999999999,7.65214553760809
2014,5,44.8,7.3095121553271305
2014,6,45.40000000000001,7.407407407407407
2014,7,46.59999999999999,7.603197911567952
2014,8,56.4,9.202153695545764
2014,9,57.6,9.397944199706314
2014,10,50.3,8.206885299396312
2014,11,57.3,9.348996573666176
2014,12,56.6,9.234785446239188
2015,1,51.7,8.721322537112009
2015,2,42.8,7.219973009446694
2015,3,41.49999999999999,7.000674763832658
2015,4,44.5,7.506747638326584
2015,5,48.3,8.147773279352226
2015,6,55.3,9.328609986504723
2015,7,52.8,8.906882591093117
2015,8,52.0,8.771929824561402
2015,9,49.1,8.28272604588394
2015,10,52.8,8.906882591093115
2015,11,46.2,7.793522267206479
2015,12,55.8,9.412955465587043
2016,1,49.00000000000001,8.9546783625731
2016,2,44.6,8.150584795321638
2016,3,50.0,9.137426900584794
2016,4,51.3,9.375
2016,5,33.7,6.158625730994152
2016,6,42.09999999999999,7.693713450292397
2016,7,40.9,7.474415204678362
2016,8,45.2,8.260233918128655
2016,9,44.9,8.205409356725145
2016,10,44.6,8.150584795321638
2016,11,46.0,8.40643274853801
2016,12,54.90000000000001,10.03289473684211
2017,1,56.6,9.191295875284183
2017,2,41.89999999999999,6.804157193894121
2017,3,43.89999999999999,7.1289379668723605
2017,4,46.2,7.502435855797338
2017,5,41.6,6.755440077947386
2017,6,54.2,8.801558947710298
2017,7,51.8,8.411822020136409
2017,8,54.2,8.801558947710298
2017,9,47.3,7.681065280935369
2017,10,55.09999999999999,8.947710295550502
2017,11,55.59999999999999,9.028905488795065
2017,12,67.39999999999999,10.94511204936668
2018,1,56.2,3.9776346521339088
2018,2,45.8,3.241559912237243
2018,3,50.3,3.5600537900771463
2018,4,59.1,4.182886262297402
2018,5,62.8,4.444759006299099
2018,6,90.9,6.433576332366057
2018,7,91.5,6.4760421827447106
2018,8,136.7,9.675136244603296
2018,9,149.0,10.545686177365699
2018,10,187.9,13.298888810248421
2018,11,224.7,15.90346096680586
2018,12,258.0,18.260315662821146
2019,1,288.4,5.773080310673393
2019,2,233.0,4.664104411882455
2019,3,308.6,6.177436143806549
2019,4,330.5000000000001,6.615821923292497
2019,5,331.5000000000001,6.63583953879414
2019,6,410.00000000000017,8.207222355672993
2019,7,421.3,8.43342141084154
2019,8,447.9,8.965889983185203
2019,9,529.9,10.607334454319801
2019,10,521.3,10.43518296100568
2019,11,568.4999999999998,11.38001441268315
2019,12,604.6999999999998,12.10465209384258
2020,1,683.3,11.84762631341679
2020,2,650.1000000000001,11.27197697402643
2020,3,664.6,11.523390089121618
2020,4,612.4999999999999,10.620036758331311
2020,5,729.4999999999999,12.64868051461664
2020,6,731.0,12.674688767902351
2020,7,765.8999999999999,13.27981412768318
2020,8,930.5,16.133786454901692
