#Año 	Mes	Demanda
2011	1	10205.6
2011	2	9132.4
2011	3	9855
2011	4	8906.4
2011	5	9552.9
2011	6	10124.2
2011	7	10556.5
2011	8	10305.1
2011	9	9082.3
2011	10	9047.2
2011	11	9493
2011	12	10088.9
2012	1	10790.8
2012	2	10058.7
2012	3	10205
2012	4	9008.3
2012	5	9616
2012	6	10323
2012	7	11071.7
2012	8	10407.4
2012	9	9338.5
2012	10	9621.4
2012	11	10041
2012	12	10811.3
2013	1	11128.8
2013	2	9831.9
2013	3	9756.8
2013	4	9298.4
2013	5	10217.3
2013	6	10346.5
2013	7	11156.1
2013	8	10902.7
2013	9	10191.5
2013	10	10047.3
2013	11	10011
2013	12	12278.1
2014	1	12004.3
2014	2	9824
2014	3	9789.8
2014	4	9595.4
2014	5	10409.1
2014	6	10901.7
2014	7	11363.9
2014	8	10490.7
2014	9	9807.5
2014	10	10706.5
2014	11	10344.7
2014	12	11229.4
2015	1	11706.2
2015	2	10665.1
2015	3	11548.5
2015	4	10026.4
2015	5	10467.6
2015	6	11254.4
2015	7	11907.4
2015	8	11130.3
2015	9	10550.1
2015	10	10722.2
2015	11	10219.2
2015	12	11909.4
2016	1	12344.9
2016	2	11731.8
2016	3	10461.5
2016	4	10292
2016	5	11352.1
2016	6	11810.6
2016	7	11920.6
2016	8	10843.9
2016	9	10371.5
2016	10	9944.8
2016	11	10119.9
2016	12	11767.7
2017	1	12524.9
2017	2	11074.9
2017	3	11122.2
2017	4	9793.8
2017	5	10795.2
2017	6	11359.3
2017	7	11796.4
2017	8	11107.3
2017	9	10348.6
2017	10	10227.3
2017	11	10345.5
2017	12	12012
2018	1	12350.2
2018	2	11404.2
2018	3	11247.2
2018	4	10493.3
2018	5	10665.5
2018	6	11924.1
2018	7	12605.8
2018	8	11709.7
2018	9	9776.5
2018	10	9875.2
2018	11	10029
2018	12	10808.3
2019	1	11698.8
2019	2	10707
2019	3	10120.1
2019	4	9574.9
2019	5	10383.2
2019	6	10645.9
2019	7	12004.2
2019	8	11461
2019	9	10213.1
2019	10	10371.5
2019	11	10544.7
2019	12	11159.7
2020	1	11986.5
2020	2	10837.5
2020	3	11139.4
2020	4	8534.1
2020	5	9613.8
2020	6	10776.7
2020	7	12179.5
2020	8	10725.5
