Year,Month,Energia[GWh],Energia[%]
2011,1,114.1,9.088012743926724
2011,2,123.7,9.852648347272
2011,3,141.6,11.27837514934289
2011,4,128.0,10.19514137793708
2011,5,87.40000000000002,6.961369972122661
2011,6,63.1,5.025886101154919
2011,7,60.3,4.802867383512544
2011,8,77.60000000000002,6.180804460374353
2011,9,101.9,8.116288331342094
2011,10,111.9,8.912783751493428
2011,11,113.0,9.000398247710073
2011,12,132.9,10.58542413381123
2012,1,140.1,9.649424891521457
2012,2,114.7,7.899993112473312
2012,3,149.2,10.276189820235551
2012,4,123.4,8.499207934430746
2012,5,104.5,7.197465390178383
2012,6,74.5,5.1312073834286105
2012,7,71.80000000000003,4.9452441628211306
2012,8,91.6,6.308974447275982
2012,9,118.3,8.147944073283284
2012,10,139.2,9.587437151318962
2012,11,152.2,10.482815620910529
2012,12,172.4,11.87409601212204
2013,1,141.6,11.121583411875589
2013,2,137.6,10.80741438894125
2013,3,122.4,9.613572101790764
2013,4,105.6,8.29406220546654
2013,5,75.3,5.914231856738925
2013,6,51.00000000000001,4.005655042412819
2013,7,48.9,3.84071630537229
2013,8,81.20000000000003,6.377631165567077
2013,9,115.5,9.071630537229023
2013,10,122.6,9.62928055293748
2013,11,128.9,10.124096764059061
2013,12,142.6,11.20012566760917
2014,1,146.1,10.030895983522141
2014,2,112.9,7.751458976999658
2014,3,150.0,10.29866117404737
2014,4,128.8,8.843117061448678
2014,5,100.4,6.893237212495707
2014,6,69.10000000000001,4.744249914177824
2014,7,77.50000000000001,5.320974939924477
2014,8,105.7,7.257123240645383
2014,9,128.0,8.788190868520426
2014,10,135.5,9.303123927222797
2014,11,142.9,9.811191211809133
2014,12,159.6,10.957775489186401
2015,1,156.4,9.632914510963293
2015,2,146.5,9.02315841340232
2015,3,157.4,9.69450603596945
2015,4,138.3,8.51810790835181
2015,5,117.1,7.2123675782212375
2015,6,74.0,4.557772850455779
2015,7,64.79999999999998,3.9911308203991123
2015,8,97.7,6.017491993101749
2015,9,141.5,8.71520078837152
2015,10,148.8,9.164818920916485
2015,11,181.5,11.17886178861789
2015,12,199.6,12.29366839122937
2016,1,191.6,10.52458115902225
2016,2,177.9,9.77204064817358
2016,3,180.4,9.909365558912388
2016,4,150.2,8.250480637187586
2016,5,118.2,6.492721779730843
2016,6,99.90000000000002,5.487503433122768
2016,7,126.8,6.9651194726723435
2016,8,133.8,7.349629222741005
2016,9,155.5,8.541609447953856
2016,10,153.2,8.415270530074155
2016,11,156.8,8.613018401538037
2016,12,176.2,9.678659708871193
2017,1,167.5,9.877344026418207
2017,2,144.8,8.538742776270784
2017,3,148.9,8.780516570350276
2017,4,144.8,8.538742776270787
2017,5,141.7,8.355938200259464
2017,6,94.0,5.543106498407831
2017,7,97.9,5.773086448873688
2017,8,121.3,7.152966151668829
2017,9,155.9,9.193301096827453
2017,10,164.4,9.694539450406886
2017,11,158.2,9.32893029838424
2017,12,156.4,9.222785705861538
2018,1,164.2,11.46888314591046
2018,2,140.5,9.813508416567712
2018,3,127.7,8.91946636865265
2018,4,101.4,7.0824893483271625
2018,5,85.40000000000002,5.96493678843333
2018,6,71.09999999999998,4.966124188028217
2018,7,86.30000000000003,6.027799119927359
2018,8,93.2,6.509743661381573
2018,9,119.8,8.367674792205069
2018,10,138.7,9.68778375357966
2018,11,142.8,9.974156597052453
2018,12,160.6,11.217433819934339
2019,1,161.2,11.03278351926631
2019,2,131.7,9.013756758606533
2019,3,124.0,8.486756553281774
2019,4,138.4,9.472315378824174
2019,5,104.7,7.165833960714528
2019,6,83.0,5.68065156389022
2019,7,78.7,5.386352747929641
2019,8,105.9,7.247963862843064
2019,9,135.0,9.239613989459997
2019,10,129.7,8.876873588392307
2019,11,128.0,8.760522893710219
2019,12,140.8,9.636575183081238
2020,1,128.4,16.9527330340639
2020,2,129.8,17.137575917612892
2020,3,110.3,14.56297861103776
2020,4,104.2,13.75759176128862
2020,5,80.60000000000002,10.64166886717719
2020,6,58.9,7.776604172167943
2020,7,59.0,7.789807235278584
2020,8,86.20000000000002,11.38104040137312
